    nm         	nm
4.103469e-001	-3.816971e+000
3.647528e-001	-3.815958e+000
3.191588e-001	-3.815958e+000
2.735648e-001	-3.816971e+000
2.279708e-001	-3.805825e+000
1.823767e-001	-3.817984e+000
1.367827e-001	-3.805825e+000
9.118866e-002	-3.805825e+000
4.559463e-002	-3.817984e+000
5.898060e-007	-3.817984e+000
