    nm         	nm
2.060973e+001	-5.533951e+000
2.067052e+001	-5.538808e+000
2.073132e+001	-5.543665e+000
2.079211e+001	-5.547550e+000
2.085291e+001	-5.551436e+000
2.091371e+001	-5.556292e+000
2.097450e+001	-5.563092e+000
2.103530e+001	-5.568920e+000
2.109609e+001	-5.573777e+000
2.115689e+001	-5.579606e+000
2.121769e+001	-5.585434e+000
2.127848e+001	-5.590291e+000
2.133928e+001	-5.595148e+000
2.140007e+001	-5.600004e+000
2.146087e+001	-5.603890e+000
2.152166e+001	-5.608747e+000
2.158246e+001	-5.612633e+000
2.164326e+001	-5.615547e+000
2.170405e+001	-5.617490e+000
2.176485e+001	-5.619432e+000
2.182564e+001	-5.622346e+000
2.188644e+001	-5.624289e+000
2.194724e+001	-5.625260e+000
2.200803e+001	-5.626232e+000
2.206883e+001	-5.626232e+000
2.212962e+001	-5.624289e+000
2.219042e+001	-5.623318e+000
2.225121e+001	-5.622346e+000
2.231201e+001	-5.621375e+000
2.237281e+001	-5.620404e+000
2.243360e+001	-5.617490e+000
2.249440e+001	-5.615547e+000
2.255519e+001	-5.612633e+000
2.261599e+001	-5.608747e+000
2.267678e+001	-5.604861e+000
2.273758e+001	-5.601947e+000
2.279838e+001	-5.598062e+000
2.285917e+001	-5.594176e+000
2.291997e+001	-5.590291e+000
2.298076e+001	-5.587377e+000
2.304156e+001	-5.585434e+000
2.310236e+001	-5.581549e+000
2.316315e+001	-5.577663e+000
2.322395e+001	-5.574749e+000
2.328474e+001	-5.573777e+000
2.334554e+001	-5.569892e+000
2.340633e+001	-5.564063e+000
2.346713e+001	-5.556292e+000
2.352793e+001	-5.552407e+000
2.358872e+001	-5.547550e+000
2.364952e+001	-5.537836e+000
2.371031e+001	-5.522294e+000
2.377111e+001	-5.508695e+000
2.383191e+001	-5.495095e+000
2.389270e+001	-5.480525e+000
2.395350e+001	-5.461097e+000
2.401429e+001	-5.436813e+000
2.407509e+001	-5.414471e+000
2.413588e+001	-5.391158e+000
2.419668e+001	-5.365902e+000
2.425748e+001	-5.339675e+000
2.431827e+001	-5.311505e+000
2.437907e+001	-5.280421e+000
2.443986e+001	-5.250308e+000
2.450066e+001	-5.219224e+000
2.456146e+001	-5.189111e+000
2.462225e+001	-5.153170e+000
2.468305e+001	-5.112372e+000
2.474384e+001	-5.072545e+000
2.480464e+001	-5.036604e+000
2.486543e+001	-4.997749e+000
2.492623e+001	-4.954037e+000
2.498703e+001	-4.902554e+000
2.504782e+001	-4.851071e+000
2.510862e+001	-4.811244e+000
2.516941e+001	-4.766561e+000
2.523021e+001	-4.712164e+000
2.529100e+001	-4.657766e+000
2.535180e+001	-4.606283e+000
2.541260e+001	-4.560628e+000
2.547339e+001	-4.513030e+000
2.553419e+001	-4.461548e+000
2.559498e+001	-4.410064e+000
2.565578e+001	-4.364409e+000
2.571658e+001	-4.319726e+000
2.577737e+001	-4.278928e+000
2.583817e+001	-4.233273e+000
2.589896e+001	-4.184704e+000
2.595976e+001	-4.139050e+000
2.602055e+001	-4.093395e+000
2.608135e+001	-4.053568e+000
2.614215e+001	-4.011798e+000
2.620294e+001	-3.960316e+000
2.626374e+001	-3.905918e+000
2.632453e+001	-3.859292e+000
2.638533e+001	-3.810723e+000
2.644613e+001	-3.760211e+000
2.650692e+001	-3.699014e+000
2.656772e+001	-3.636846e+000
2.662851e+001	-3.583420e+000
2.668931e+001	-3.529023e+000
2.675010e+001	-3.469769e+000
2.681090e+001	-3.408572e+000
2.687170e+001	-3.348346e+000
2.693249e+001	-3.292006e+000
2.699329e+001	-3.241494e+000
2.705408e+001	-3.189040e+000
2.711488e+001	-3.135614e+000
2.717568e+001	-3.080245e+000
2.723647e+001	-3.026819e+000
2.729727e+001	-2.980193e+000
2.735806e+001	-2.937453e+000
2.741886e+001	-2.889855e+000
2.747965e+001	-2.835458e+000
2.754045e+001	-2.780089e+000
2.760125e+001	-2.733463e+000
2.766204e+001	-2.691694e+000
2.772284e+001	-2.634382e+000
2.778363e+001	-2.568328e+000
2.784443e+001	-2.509074e+000
2.790522e+001	-2.459534e+000
2.796602e+001	-2.406108e+000
2.802682e+001	-2.343939e+000
2.808761e+001	-2.273029e+000
2.814841e+001	-2.210860e+000
2.820920e+001	-2.160349e+000
2.827000e+001	-2.101095e+000
2.833080e+001	-2.035041e+000
2.839159e+001	-1.972872e+000
2.845239e+001	-1.916532e+000
2.851318e+001	-1.866021e+000
2.857398e+001	-1.812595e+000
2.863477e+001	-1.758197e+000
2.869557e+001	-1.706714e+000
2.875637e+001	-1.648432e+000
2.881716e+001	-1.596948e+000
2.887796e+001	-1.551294e+000
