    nm         	mV
1.584579e+001	2.287500e+001
1.573799e+001	2.290625e+001
1.563020e+001	2.290625e+001
1.552240e+001	2.293750e+001
1.541461e+001	2.296875e+001
1.530681e+001	2.300000e+001
1.519902e+001	2.300000e+001
1.509122e+001	2.300000e+001
1.498343e+001	2.306250e+001
1.487563e+001	2.312500e+001
1.476784e+001	2.318750e+001
1.466004e+001	2.325000e+001
1.455225e+001	2.328125e+001
1.444445e+001	2.328125e+001
1.433666e+001	2.331250e+001
1.422887e+001	2.334375e+001
1.412107e+001	2.337500e+001
1.401328e+001	2.337500e+001
1.390548e+001	2.337500e+001
1.379769e+001	2.340625e+001
1.368989e+001	2.340625e+001
1.358210e+001	2.343750e+001
1.347430e+001	2.343750e+001
1.336651e+001	2.343750e+001
1.325871e+001	2.346875e+001
1.315092e+001	2.350000e+001
1.304312e+001	2.346875e+001
1.293533e+001	2.343750e+001
1.282753e+001	2.343750e+001
1.271974e+001	2.346875e+001
1.261195e+001	2.346875e+001
1.250415e+001	2.346875e+001
1.239636e+001	2.350000e+001
1.228856e+001	2.350000e+001
1.218077e+001	2.353125e+001
1.207297e+001	2.353125e+001
1.196518e+001	2.353125e+001
1.185738e+001	2.353125e+001
1.174959e+001	2.353125e+001
1.164179e+001	2.356250e+001
1.153400e+001	2.356250e+001
1.142620e+001	2.356250e+001
1.131841e+001	2.359375e+001
1.121061e+001	2.365625e+001
1.110282e+001	2.365625e+001
1.099503e+001	2.365625e+001
1.088723e+001	2.362500e+001
1.077944e+001	2.362500e+001
1.067164e+001	2.359375e+001
1.056385e+001	2.359375e+001
1.045605e+001	2.362500e+001
1.034826e+001	2.362500e+001
1.024046e+001	2.362500e+001
1.013267e+001	2.362500e+001
1.002487e+001	2.362500e+001
9.917079e+000	2.362500e+001
9.809284e+000	2.362500e+001
9.701489e+000	2.359375e+001
9.593695e+000	2.353125e+001
9.485900e+000	2.346875e+001
9.378105e+000	2.343750e+001
9.270311e+000	2.337500e+001
9.162516e+000	2.331250e+001
9.054721e+000	2.325000e+001
8.946927e+000	2.321875e+001
8.839132e+000	2.318750e+001
8.731337e+000	2.315625e+001
8.623543e+000	2.309375e+001
8.515748e+000	2.303125e+001
8.407953e+000	2.300000e+001
8.300159e+000	2.300000e+001
8.192364e+000	2.296875e+001
8.084569e+000	2.293750e+001
7.976775e+000	2.290625e+001
7.868980e+000	2.290625e+001
7.761185e+000	2.290625e+001
7.653391e+000	2.287500e+001
7.545596e+000	2.284375e+001
7.437802e+000	2.281250e+001
7.330008e+000	2.275000e+001
7.222213e+000	2.271875e+001
7.114419e+000	2.268750e+001
7.006625e+000	2.268750e+001
6.898831e+000	2.271875e+001
6.791037e+000	2.275000e+001
6.683242e+000	2.281250e+001
6.575448e+000	2.284375e+001
6.467654e+000	2.287500e+001
6.359860e+000	2.290625e+001
6.252066e+000	2.293750e+001
6.144271e+000	2.296875e+001
6.036477e+000	2.303125e+001
5.928683e+000	2.306250e+001
5.820889e+000	2.312500e+001
5.713094e+000	2.315625e+001
5.605300e+000	2.318750e+001
5.497506e+000	2.321875e+001
5.389712e+000	2.321875e+001
5.281918e+000	2.318750e+001
5.174123e+000	2.315625e+001
5.066329e+000	2.312500e+001
4.958535e+000	2.309375e+001
4.850741e+000	2.306250e+001
4.742946e+000	2.303125e+001
4.635152e+000	2.303125e+001
4.527358e+000	2.303125e+001
4.419564e+000	2.303125e+001
4.311770e+000	2.303125e+001
4.203975e+000	2.303125e+001
4.096181e+000	2.306250e+001
3.988387e+000	2.312500e+001
3.880593e+000	2.315625e+001
3.772799e+000	2.321875e+001
3.665004e+000	2.325000e+001
3.557210e+000	2.328125e+001
3.449416e+000	2.331250e+001
3.341622e+000	2.334375e+001
3.233827e+000	2.337500e+001
3.126033e+000	2.337500e+001
3.018239e+000	2.337500e+001
2.910445e+000	2.337500e+001
2.802651e+000	2.334375e+001
2.694856e+000	2.331250e+001
2.587062e+000	2.331250e+001
2.479268e+000	2.331250e+001
2.371474e+000	2.331250e+001
2.263679e+000	2.334375e+001
2.155885e+000	2.337500e+001
2.048091e+000	2.340625e+001
1.940297e+000	2.340625e+001
1.832503e+000	2.340625e+001
1.724708e+000	2.340625e+001
1.616914e+000	2.340625e+001
1.509120e+000	2.340625e+001
1.401326e+000	2.340625e+001
1.293532e+000	2.340625e+001
1.185737e+000	2.337500e+001
1.077943e+000	2.337500e+001
9.701489e-001	2.334375e+001
8.623546e-001	2.334375e+001
7.545604e-001	2.328125e+001
6.467662e-001	2.325000e+001
5.389720e-001	2.325000e+001
4.311778e-001	2.325000e+001
3.233835e-001	2.362500e+001
2.155893e-001	2.287500e+001
1.077951e-001	2.325000e+001
8.743006e-007	2.325000e+001
